,Day since infection,"Proba Neut Min
 vs. BN antigen","Proba Neut Max
 vs. BN antigen","Proba Neut Min
 vs. bbb antigen","Proba Neut Max
 vs. bbb antigen"
547,548,7.427170571339126e-06,0.09325864161196895,1.4836004997853536e-06,0.019500415527595183
548,549,7.224075059708568e-06,0.09237816861546766,1.4430313990398957e-06,0.019307642159980154
549,550,7.0265331594265845e-06,0.09150551213763891,1.4035716606741744e-06,0.019116753412780185
550,551,6.834393008858797e-06,0.09064061237099463,1.3651909497314207e-06,0.018927731278017723
551,552,6.6475068991600494e-06,0.08978340977682486,1.3278597594812425e-06,0.018740557911512856
552,553,6.465731161142685e-06,0.08893384508807212,1.2915493908804976e-06,0.01855521563156104
553,554,6.28892605281095e-06,0.08809185931209362,1.2562319300357672e-06,0.01837168691761515
554,555,6.1169556545559445e-06,0.08725739373331365,1.2218802254437833e-06,0.018189954408977083
555,556,5.94968776268523e-06,0.08643038991576524,1.1884678690066153e-06,0.018010000903494472
556,557,5.786993788725603e-06,0.08561078970552871,1.1559691739382316e-06,0.017831809356267714
557,558,5.628748660280181e-06,0.08479853523306047,1.1243591562237754e-06,0.017655362878361114
558,559,5.474830725216151e-06,0.08399356891542598,1.0936135149686166e-06,0.01748064473552524
559,560,5.325121657406839e-06,0.08319583345842685,1.063708613857628e-06,0.017307638346922283
560,561,5.179506367025688e-06,0.08240527185863311,1.0346214625034378e-06,0.017136327283862274
561,562,5.0378729105071685e-06,0.08162182740531365,1.0063297009033079e-06,0.016966695268545995
562,563,4.900112405392676e-06,0.0808454436822813,9.788115773456951e-07,0.016798726172816192
563,564,4.766118947618914e-06,0.08007606456963434,9.520459374190438e-07,0.016632404016910463
564,565,4.635789527807077e-06,0.07931363424541482,9.260122050269715e-07,0.016467712968234793
565,566,4.509023953547242e-06,0.07855809718717488,9.006903654018572e-07,0.016304637340127548
566,567,4.385724772903998e-06,0.07780939817345611,8.760609523372764e-07,0.016143161590647437
567,568,4.265797197811061e-06,0.07706748228518356,8.521050309795442e-07,0.015983270321355936
568,569,4.149149031795751e-06,0.07633229490697535,8.288041847270833e-07,0.015824948276115913
569,570,4.035690601478237e-06,0.0756037817283729,8.061405012416145e-07,0.015668180339895366
570,571,3.925334683185788e-06,0.07488188874498691,7.84096556905034e-07,0.015512951537576591
571,572,3.817996439448024e-06,0.07416656225956864,7.626554041628708e-07,0.015359247032774803
572,573,3.713593352938638e-06,0.07345774888300294,7.418005609771683e-07,0.015207052126665954
573,574,3.6120451619714444e-06,0.07275539553522448,7.215159942841609e-07,0.015056352256819339
