,Day since infection,"Proba Neut Min
 vs. BA.2 antigen","Proba Neut Max
 vs. BA.2 antigen","Proba Neut Min
 vs. B303000 antigen","Proba Neut Max
 vs. B303000 antigen"
487,488,3.920011267566359e-05,0.16278026917792154,1.9057239168285278e-05,0.08333530079321005
488,489,3.812820744220069e-05,0.16131395361316736,1.8536123642665103e-05,0.08254369637410675
489,490,3.708561222370843e-05,0.1598593413287891,1.8029257742524507e-05,0.08175921321484547
490,491,3.607152560602955e-05,0.15841636731444686,1.7536251827210414e-05,0.08098179496486768
491,492,3.508516808659046e-05,0.15698496635940962,1.7056726909880915e-05,0.08021138556763097
492,493,3.4125781472882366e-05,0.15556507306666312,1.6590314367181946e-05,0.07944792926230781
493,494,3.3192628303369e-05,0.1541566218667495,1.6136655654475085e-05,0.07869137058539188
494,495,3.22849912791634e-05,0.15275954703135408,1.569540203061326e-05,0.07794165437221989
495,496,3.140217271235812e-05,0.15137378268663026,1.5266214290932112e-05,0.07719872575840392
496,497,3.054349399100875e-05,0.1499992628262733,1.4848762504682256e-05,0.07646253018118254
497,498,2.970829505632988e-05,0.1486359213243369,1.4442725762564557e-05,0.07573301338068761
498,499,2.889593389820977e-05,0.14728369194780389,1.404779193059369e-05,0.07501012140113161
499,500,2.810578605783043e-05,0.14594250836890765,1.3663657408846674e-05,0.07429380059191626
500,501,2.733724415060479e-05,0.14461230417720783,1.3290026899426266e-05,0.07358399760866252
501,502,2.6589717399327917e-05,0.14329301289142327,1.2926613178088076e-05,0.07288065941416477
502,503,2.5862631179207618e-05,0.1419845679710252,1.2573136875304591e-05,0.07218373327927396
503,504,2.5155426576772832e-05,0.14068690282759377,1.2229326259660667e-05,0.07149316678370443
504,505,2.446755995955119e-05,0.1393999508359366,1.1894917029464658e-05,0.07080890781677296
505,506,2.379850256084559e-05,0.13812364534497712,1.1569652111798057e-05,0.07013090457806592
506,507,2.314774006861864e-05,0.136857919688412,1.12532814604549e-05,0.06945910557804202
507,508,2.2514772236137404e-05,0.13560270719514234,1.094556186831408e-05,0.06879345963856642
508,509,2.1899112492285155e-05,0.13435794119947697,1.0646256777491203e-05,0.06813391589337969
509,510,2.1300287571190957e-05,0.13312355505111761,1.0355136099593487e-05,0.06748042378850538
510,511,2.0717837146744245e-05,0.13189948212492064,1.0071976036085672e-05,0.06683293308259552
